# 示例数据：粤港澳大湾区排放点位（40家虚拟企业）
企业名称,lat,lon,排放量,所属行业,城市
深圳示例企业01号（虚拟）,22.46093,114.03085,40.8,电力,深圳
广州示例企业02号（虚拟）,23.12099,113.27982,7.0,纺织印染,广州
东莞示例企业03号（虚拟）,22.96384,113.66054,33.5,纺织印染,东莞
佛山示例企业04号（虚拟）,23.04327,113.10633,28.3,电子制造,佛山
惠州示例企业05号（虚拟）,23.06795,114.30947,25.1,电子制造,惠州
珠海示例企业06号（虚拟）,22.31244,113.48589,46.3,印刷包装,珠海
中山示例企业07号（虚拟）,22.47130,113.43885,7.7,纺织印染,中山
江门示例企业08号（虚拟）,22.61896,113.06283,20.1,化工,江门
肇庆示例企业09号（虚拟）,23.07485,112.48910,35.9,纺织印染,肇庆
香港示例企业10号（虚拟）,22.34684,114.07270,36.7,电力,香港
澳门示例企业11号（虚拟）,22.15500,113.49148,36.0,电力,澳门
深圳示例企业12号（虚拟）,22.54873,114.05904,14.5,建材,深圳
广州示例企业13号（虚拟）,23.17162,113.17904,36.1,化工,广州
东莞示例企业14号（虚拟）,22.96095,113.84852,2.4,纺织印染,东莞
佛山示例企业15号（虚拟）,23.02990,113.09607,40.3,建材,佛山
惠州示例企业16号（虚拟）,23.05962,114.35426,32.0,纺织印染,惠州
珠海示例企业17号（虚拟）,22.24045,113.48248,43.9,机械制造,珠海
中山示例企业18号（虚拟）,22.43654,113.39138,12.8,电子制造,中山
江门示例企业19号（虚拟）,22.54363,113.18870,41.0,食品加工,江门
肇庆示例企业20号（虚拟）,23.02198,112.43493,30.9,食品加工,肇庆
香港示例企业21号（虚拟）,22.35093,114.19957,21.2,印刷包装,香港
澳门示例企业22号（虚拟）,22.12068,113.56676,38.5,食品加工,澳门
深圳示例企业23号（虚拟）,22.56743,114.04307,45.5,化工,深圳
广州示例企业24号（虚拟）,23.17378,113.18225,30.1,建材,广州
东莞示例企业25号（虚拟）,23.05742,113.73004,8.4,电力,东莞
佛山示例企业26号（虚拟）,22.93754,113.13612,8.2,电子制造,佛山
惠州示例企业27号（虚拟）,23.16652,114.31531,8.5,电力,惠州
珠海示例企业28号（虚拟）,22.32155,113.56374,35.8,机械制造,珠海
中山示例企业29号（虚拟）,22.44236,113.40244,6.0,电子制造,中山
江门示例企业30号（虚拟）,22.49965,113.18437,37.3,电子制造,江门
肇庆示例企业31号（虚拟）,22.96169,112.56353,6.7,纺织印染,肇庆
香港示例企业32号（虚拟）,22.30052,114.25435,11.4,电子制造,香港
澳门示例企业33号（虚拟）,22.28332,113.56235,9.7,机械制造,澳门
深圳示例企业34号（虚拟）,22.58141,114.04242,23.0,电力,深圳
广州示例企业35号（虚拟）,23.10097,113.30693,8.8,食品加工,广州
东莞示例企业36号（虚拟）,23.03765,113.71917,31.0,机械制造,东莞
佛山示例企业37号（虚拟）,23.02936,113.17525,37.4,化工,佛山
惠州示例企业38号（虚拟）,23.02723,114.49788,22.8,食品加工,惠州
珠海示例企业39号（虚拟）,22.31188,113.67713,34.7,印刷包装,珠海
中山示例企业40号（虚拟）,22.53982,113.45290,33.4,食品加工,中山
